EF,S_init,reset_at_switch,cross_immunity_years,include_births,include_waning,S_eff_min,S_eff_max,S_eff_range,S_dom_min,S_dom_max,S_dom_range,log_S_eff_range,log_S_dom_range,gp_alpha_median,ratio_to_gp,explains_gp
10,0.5,TRUE,0,TRUE,TRUE,0.4705393447494956,0.5130614860153874,0.042522141265891766,0.4607223712732054,0.5263068927756782,0.06558452150247279,0.08651611496787648,0.13308885886973376,0.30407597,0.43768292137564757,FALSE
10,0.75,FALSE,0,FALSE,FALSE,0.6555465600752944,0.75,0.09445343992470556,0.6504090909090907,0.75,0.09959090909090929,0.13460387598595347,0.14247167098193736,0.30407597,0.46853972374711944,FALSE
10,0.75,FALSE,0,TRUE,TRUE,0.7246221794518601,0.7660434709307302,0.04142129147887008,0.7113115824124817,0.7827897599096014,0.07147817749711971,0.055588531464879076,0.09575358902491324,0.30407597,0.31490021728751943,FALSE
10,0.75,TRUE,0,FALSE,FALSE,0.7063325218170167,0.75,0.04366747818298333,0.6989854545454546,0.75,0.051014545454545424,0.05998708584491358,0.07044327346090257,0.30407597,0.23166340129048202,FALSE
10,0.75,TRUE,0,TRUE,TRUE,0.719126798207901,0.7615223991417184,0.042395600933817335,0.7095567939571031,0.7731395362157197,0.0635827422586166,0.057281890672409574,0.08581900360878814,0.30407597,0.2822288246216501,FALSE
10,0.95,FALSE,0,FALSE,FALSE,0.8555465600752943,0.95,0.09445343992470567,0.8504090909090907,0.95,0.09959090909090929,0.1047214683420132,0.110744467467484,0.30407597,0.3641999973476497,FALSE
10,0.95,FALSE,0,TRUE,TRUE,0.9217126959202654,0.9620982167910016,0.04038552087073621,0.9084703362992499,0.9793805897541501,0.07091025345490021,0.04288297654528463,0.07515808455573728,0.30407597,0.24716877350004765,FALSE
10,0.95,TRUE,0,FALSE,FALSE,0.9063325218170166,0.95,0.04366747818298333,0.8989854545454545,0.95,0.051014545454545424,0.047055724014572656,0.05519512984734497,0.30407597,0.1815175656509292,FALSE
10,0.95,TRUE,0,TRUE,TRUE,0.9179967609746242,0.9602911296427834,0.042294368668159166,0.9086243321042197,0.9706122067903342,0.06198787468611455,0.045042636268231843,0.06599528069020882,0.30407597,0.21703550165509242,FALSE
14,0.5,FALSE,0,FALSE,FALSE,0.3677651841054132,0.5,0.1322348158945868,0.3605727272727281,0.5,0.1394272727272719,0.30716345058727434,0.3269144220363994,0.30407597,1.075107717444425,TRUE
14,0.5,FALSE,0,TRUE,TRUE,0.4493727755965223,0.5099605759054945,0.060587800308972206,0.4366028211816518,0.5348266475997946,0.09822382641814281,0.12648064211508825,0.20291876540837295,0.30407597,0.6673291724050834,FALSE
14,0.5,TRUE,0,FALSE,FALSE,0.4388655305438235,0.5,0.06113446945617651,0.4285796363636366,0.5,0.0714203636363634,0.130415040825279,0.15413152849549416,0.30407597,0.5068849356806925,FALSE
14,0.5,TRUE,0,TRUE,TRUE,0.45310515726073514,0.5121300170659816,0.059024859805246466,0.4403492257015787,0.5241910608376397,0.08384183513606097,0.12245429860707424,0.17428813090302608,0.30407597,0.5731729833930188,FALSE
14,0.75,FALSE,0,FALSE,FALSE,0.6177651841054123,0.75,0.13223481589458774,0.6105727272727268,0.75,0.13942727272727318,0.1939647822706128,0.20567579268284714,0.30407597,0.6763960752401683,FALSE
14,0.75,FALSE,0,TRUE,TRUE,0.6913269716563522,0.7552458475181297,0.06391887586177758,0.6830512635401113,0.7805651849054775,0.0975139213653663,0.08843042405722873,0.13344834014145476,0.30407597,0.43886513012341877,FALSE
